Date,VTI,VEA,BND,BNDX,FZROX,VFIDX,VFSUX,^GSPC,^DJI,^IXIC,^NYA
2021-05-20,202.2469482,45.3209877,74.77513123,48.8537941,14.1776886,8.539847374,9.627324104,4159.120117,34084.14844,13535.74023,16350.4502
2021-05-21,202.1341248,45.3122406,74.79270935,48.90550232,14.16820526,8.539847374,9.627324104,4155.859863,34207.83984,13470.99023,16375.0
2021-05-24,204.1745453,45.59189606,74.88058472,48.93136978,14.31045628,8.556751251,9.627324104,4197.049805,34393.98047,13661.16992,16464.68945
2021-05-25,203.6103821,45.59189606,75.07394409,49.06067276,14.27252293,8.573663712,9.636094093,4188.129883,34312.46094,13657.16992,16390.18945
2021-05-26,204.343811,45.59189606,75.04758453,49.16412354,14.3294239,8.573663712,9.636094093,4195.990234,34323.05078,13738.0,16451.96094
2021-05-27,204.7199097,45.67928314,74.9420929,49.04344177,14.35787487,8.556751251,9.627324104,4200.879883,34464.64063,13736.28027,16531.94922
2021-05-28,205.0678101,45.81036758,74.93331909,49.07792664,14.37684059,8.581320763,9.649274826,4204.109863,34529.44922,13748.74023,16555.66016
2021-06-01,205.1524506,46.05506516,74.92806244,49.07015991,14.37684059,8.572847366,9.640493393,4202.040039,34575.30859,13736.48047,16643.32031
2021-06-02,205.4251099,46.1861496,75.00728607,49.12191391,14.39580822,8.589789391,9.649274826,4208.120117,34600.37891,13756.33008,16673.96094
2021-06-03,204.513031,45.94145584,74.86645508,49.04427719,14.3294239,8.56437397,9.640493393,4192.850098,34577.03906,13614.50977,16632.33984
2021-06-04,206.2902069,46.37841797,75.16573334,49.16505051,14.45270824,8.598261833,9.649274826,4229.890137,34756.39063,13814.49023,16708.74023
2021-06-07,206.4594116,46.48328781,75.11288452,49.12191391,14.47167492,8.589789391,9.640493393,4226.52002,34630.23828,13881.71973,16709.30078
2021-06-08,206.8825531,46.45706177,75.25373077,49.19094467,14.49064159,8.606732368,9.649274826,4227.259766,34599.82031,13924.91016,16685.48047
2021-06-09,206.2995758,46.2735405,75.40338898,49.28583527,14.45270824,8.632143974,9.649274826,4219.549805,34447.14063,13911.75,16620.0
2021-06-10,207.2116852,46.42211533,75.56184387,49.3289566,14.51909256,8.64908886,9.658054352,4239.180176,34466.23828,14020.33008,16651.42969
2021-06-11,207.8228607,46.50076675,75.5442276,49.42386246,14.56650734,8.64908886,9.649274826,4247.439941,34479.60156,14069.41992,16694.92969
